strategy,symbol,side,entry_ts,exit_ts,entry,exit,qty,pnl,stop,target
VWAPReversion,NVDA,short,2025-09-22 10:00:00,2025-09-22 10:00:00,175.36501,175.4180564315108,1425,-75.59116490286044,175.71574002,175.4180564315108
VWAPReversion,NVDA,long,2025-09-22 10:05:00,2025-09-22 10:06:00,175.3123,175.40871504563685,1426,137.48785507816234,174.9616754,175.40871504563685
VWAPReversion,NVDA,long,2025-09-22 10:13:00,2025-09-22 10:14:00,175.3342,175.40519549386042,1425,101.1685787510821,174.98353160000002,175.40519549386042
VWAPReversion,NVDA,long,2025-09-22 10:17:00,2025-09-22 10:27:00,175.235,175.40072762099857,1426,236.32758754393592,174.88453,175.40072762099857
VWAPReversion,NVDA,long,2025-09-22 10:20:00,2025-09-22 10:27:00,175.18201,175.39177305049262,1427,299.331873052977,174.83164598,175.39177305049262
VWAPReversion,NVDA,long,2025-09-22 10:23:00,2025-09-22 10:27:00,175.11971,175.37841942222605,1427,369.17834551656983,174.76947058,175.37841942222605
VWAPReversion,NVDA,long,2025-09-22 10:24:00,2025-09-22 10:27:00,175.27,175.37679633373972,1426,152.29157191282485,174.91946000000002,175.37679633373972
VWAPReversion,NVDA,long,2025-09-22 10:26:00,2025-09-22 10:27:00,175.3038,175.37471164946743,1426,101.12001214055994,174.9531924,175.37471164946743
VWAPReversion,NVDA,short,2025-09-22 10:39:00,2025-09-22 11:17:00,175.76511,175.3996983331926,1422,519.6153902001283,176.11664022,175.3996983331926
VWAPReversion,NVDA,short,2025-09-22 10:42:00,2025-09-22 11:17:00,175.7701,175.40861808565097,1422,514.027282204338,176.1216402,175.40861808565097
VWAPReversion,NVDA,short,2025-09-22 10:46:00,2025-09-22 11:17:00,175.875,175.4305334929465,1421,631.5869065230308,176.22675,175.4305334929465
VWAPReversion,NVDA,short,2025-09-22 10:47:00,2025-09-22 11:17:00,175.75999,175.43344135588572,1422,464.3521719304897,176.11150998,175.43344135588572
VWAPReversion,NVDA,short,2025-09-22 10:49:00,2025-09-22 11:17:00,175.765,175.4424827609624,1422,458.61951391143924,176.11652999999998,175.4424827609624
VWAPReversion,NVDA,short,2025-09-22 10:52:00,2025-09-22 11:17:00,175.72501,175.45245508996612,1422,387.5730820681707,176.07646001999998,175.45245508996612
VWAPReversion,NVDA,short,2025-09-22 10:54:00,2025-09-22 11:17:00,175.765,175.4557274383928,1422,439.7855826054003,176.11652999999998,175.4557274383928
VWAPReversion,NVDA,short,2025-09-22 10:55:00,2025-09-22 11:17:00,175.75439,175.45726094890142,1422,422.51751066218014,176.10589878,175.45726094890142
VWAPReversion,NVDA,short,2025-09-22 10:58:00,2025-09-22 11:14:00,175.83,175.46257395484113,1421,522.1124101707676,176.18166000000002,175.46257395484113
VWAPReversion,NVDA,short,2025-09-22 10:59:00,2025-09-22 11:14:00,175.75,175.4636878066899,1422,407.13593888695596,176.1015,175.4636878066899
VWAPReversion,NVDA,short,2025-09-22 11:02:00,2025-09-22 11:14:00,175.83,175.469576797116,1421,512.1613712981946,176.18166000000002,175.469576797116
VWAPReversion,NVDA,short,2025-09-22 11:04:00,2025-09-22 11:12:00,175.84,175.47333924803308,1421,521.0249285449912,176.19168,175.47333924803308
VWAPReversion,NVDA,short,2025-09-22 11:06:00,2025-09-22 11:12:00,175.83,175.4766356516926,1421,502.13073894484796,176.18166000000002,175.4766356516926
VWAPReversion,NVDA,short,2025-09-22 11:07:00,2025-09-22 11:12:00,175.745,175.47802661355828,1422,379.6361555201253,176.09649000000002,175.47802661355828
VWAPReversion,NVDA,short,2025-09-22 11:09:00,2025-09-22 11:12:00,175.73,175.4801667172757,1422,355.26292803394915,176.08146,175.4801667172757
VWAPReversion,NVDA,short,2025-09-22 11:10:00,2025-09-22 11:12:00,175.685,175.48094306309983,1423,290.37302120894617,176.03637,175.48094306309983
VWAPReversion,NVDA,short,2025-09-22 11:11:00,2025-09-22 11:12:00,175.5856,175.48167506782647,1423,147.88517848292884,175.9367712,175.48167506782647
VWAPReversion,NVDA,long,2025-09-22 11:19:00,2025-09-22 11:22:00,175.355,175.48028006347283,1425,178.52409044880133,175.00429,175.48028006347283
VWAPReversion,NVDA,long,2025-09-22 11:20:00,2025-09-22 11:22:00,175.38499,175.4790410863811,1425,134.02279809308766,175.03422002,175.4790410863811
VWAPReversion,NVDA,long,2025-09-22 11:21:00,2025-09-22 11:22:00,175.38499,175.47863840295034,1425,133.44897420424928,175.03422002,175.47863840295034
VWAPReversion,NVDA,short,2025-09-22 11:36:00,2025-09-22 11:44:00,175.55009,175.90119018000001,1424,-499.9666563200044,175.90119018000001,175.47945371025426
VWAPReversion,NVDA,short,2025-09-22 11:46:00,2025-09-22 11:55:00,175.83,175.4908663984983,1421,481.9088477339364,176.18166000000002,175.4908663984983
VWAPReversion,NVDA,short,2025-09-22 11:48:00,2025-09-22 11:55:00,175.7,175.49279850769034,1422,294.6405220643228,176.0514,175.49279850769034
VWAPReversion,NVDA,short,2025-09-22 11:49:00,2025-09-22 11:55:00,175.66499,175.49349389856377,1423,244.03895234373942,176.01631998,175.49349389856377
VWAPReversion,NVDA,short,2025-09-22 11:50:00,2025-09-22 11:55:00,175.675,175.49421948046714,1423,257.2506792952797,176.02635,175.49421948046714
VWAPReversion,NVDA,short,2025-09-22 11:51:00,2025-09-22 11:55:00,175.535,175.49443238662784,1424,57.7682814419577,175.88607,175.49443238662784
VWAPReversion,NVDA,short,2025-09-22 11:54:00,2025-09-22 11:55:00,175.5179,175.49473676043075,1424,32.984453146601936,175.8689358,175.49473676043075
VWAPReversion,NVDA,short,2025-09-22 12:05:00,2025-09-22 12:06:00,177.21001,177.56443002,1410,-499.7322281999888,177.56443002,175.64169083983256
VWAPReversion,NVDA,short,2025-09-22 12:12:00,2025-09-22 12:14:00,179.50999,179.86900998,1392,-499.7558121599991,179.86900998,176.2326567135375
VWAPReversion,NVDA,short,2025-09-22 12:16:00,2025-09-22 12:16:00,180.1601,180.5739369285714,1208,-499.9150097142674,180.5739369285714,176.7073209173091
VWAPReversion,NVDA,short,2025-09-22 12:19:00,2025-09-22 12:19:00,180.995,181.41499726785713,1190,-499.79674874998125,181.41499726785713,177.04129623663798
VWAPReversion,NVDA,short,2025-09-22 12:23:00,2025-09-22 12:23:00,181.91,182.35731532142856,1117,-499.6512140357034,182.35731532142856,177.47411416975348
VWAPReversion,NVDA,short,2025-09-22 12:24:00,2025-09-22 12:29:00,181.78999,182.23301960714284,1128,-499.73739685713167,182.23301960714284,177.58415396261412
